epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,11618,1.9537,4.02183,3.23297,1.88501,0.41699,0.0885,0.06559,0.03462,0.41264,0.08228,0.05462,0.02385,1.99281,4.01783,3.10882,1.95371,2.82863e-05,2.82863e-05,2.82863e-05
79,11768.1,1.95482,4.03077,3.24033,1.87967,0.4074,0.08828,0.0678,0.03588,0.39986,0.08051,0.05622,0.02485,1.99126,4.01225,3.10541,1.95169,2.71082e-05,2.71082e-05,2.71082e-05
80,11918,1.95139,4.02866,3.22088,1.88087,0.39534,0.09076,0.06558,0.03543,0.39245,0.082,0.05478,0.02464,1.98906,4.01532,3.10332,1.94893,2.59301e-05,2.59301e-05,2.59301e-05
81,12068,1.94449,4.01887,3.23065,1.88099,0.39601,0.09313,0.06757,0.03605,0.38966,0.08483,0.05675,0.02505,1.9883,4.01112,3.09896,1.95194,2.4752e-05,2.4752e-05,2.4752e-05
82,12217.4,1.93608,4.00121,3.23166,1.88086,0.39496,0.08778,0.06844,0.03737,0.38838,0.07984,0.0573,0.02595,1.98968,4.01019,3.09765,1.95099,2.35739e-05,2.35739e-05,2.35739e-05
83,12366.5,1.94942,4.00121,3.2228,1.87363,0.42702,0.08609,0.06774,0.03604,0.39779,0.07936,0.05522,0.025,1.98537,4.01117,3.08975,1.94639,2.23958e-05,2.23958e-05,2.23958e-05
84,12515.7,1.94522,4.00544,3.2274,1.8738,0.37717,0.09537,0.06706,0.03544,0.40012,0.08572,0.05588,0.02489,1.98615,4.01216,3.0891,1.94981,2.12177e-05,2.12177e-05,2.12177e-05
85,12665.7,1.95397,4.0049,3.21256,1.87356,0.37894,0.0866,0.0691,0.03706,0.36875,0.07899,0.05737,0.02614,1.98569,4.00397,3.08761,1.94294,2.00396e-05,2.00396e-05,2.00396e-05
86,12815.3,1.94261,4.00533,3.22253,1.87503,0.39556,0.09183,0.07003,0.03703,0.38772,0.08444,0.05715,0.02606,1.98572,4.00466,3.09288,1.94617,1.88615e-05,1.88615e-05,1.88615e-05
87,12964.6,1.93088,3.98686,3.21486,1.8691,0.38903,0.09195,0.07102,0.03787,0.38299,0.08361,0.05973,0.02643,1.98492,4.00181,3.08657,1.94175,1.76834e-05,1.76834e-05,1.76834e-05
88,13114.4,1.93098,3.98357,3.20427,1.86228,0.39307,0.09425,0.07174,0.03802,0.38949,0.08435,0.06054,0.02641,1.98403,3.99898,3.07812,1.93922,1.65053e-05,1.65053e-05,1.65053e-05
89,13264.5,1.94879,4.00235,3.22632,1.87065,0.3849,0.09285,0.07216,0.03833,0.37842,0.08435,0.06012,0.02641,1.98564,4.00194,3.08272,1.93998,1.53272e-05,1.53272e-05,1.53272e-05
90,13414.1,1.93776,3.99019,3.19563,1.86626,0.3945,0.0891,0.07246,0.03894,0.39054,0.08191,0.06145,0.02711,1.98128,3.99727,3.07762,1.93892,1.41491e-05,1.41491e-05,1.41491e-05
91,13540.1,1.96598,3.98837,3.38062,1.9098,0.46459,0.08674,0.07194,0.03828,0.44837,0.08262,0.06209,0.02739,1.98254,4.01065,3.09811,1.93304,1.2971e-05,1.2971e-05,1.2971e-05
92,13666.1,1.95068,3.96132,3.31143,1.90067,0.44948,0.09343,0.07249,0.03893,0.4408,0.0841,0.06172,0.02767,1.9776,4.00572,3.08363,1.92591,1.17929e-05,1.17929e-05,1.17929e-05
93,13791.9,1.94316,3.96897,3.28373,1.90236,0.45465,0.08785,0.07305,0.03931,0.43693,0.08136,0.06201,0.02771,1.97407,3.99934,3.07646,1.92568,1.06148e-05,1.06148e-05,1.06148e-05
94,13917.6,1.93857,3.95353,3.2692,1.89349,0.45009,0.09403,0.07325,0.03956,0.43731,0.08362,0.06243,0.02781,1.97502,3.99624,3.07162,1.92359,9.4367e-06,9.4367e-06,9.4367e-06
95,14043.5,1.93536,3.94038,3.26069,1.8954,0.45247,0.09491,0.07451,0.04027,0.43696,0.08388,0.06412,0.02791,1.97049,3.99553,3.06631,1.92295,8.2586e-06,8.2586e-06,8.2586e-06
96,14169.1,1.92727,3.93969,3.26696,1.89327,0.44624,0.09355,0.07424,0.03994,0.42933,0.08206,0.06185,0.02738,1.97031,3.99429,3.06583,1.92281,7.0805e-06,7.0805e-06,7.0805e-06
97,14294.9,1.92875,3.95258,3.25596,1.89135,0.44513,0.0943,0.07461,0.04001,0.43061,0.08363,0.06372,0.02805,1.96889,3.99172,3.06048,1.92158,5.9024e-06,5.9024e-06,5.9024e-06
98,14420.5,1.93472,3.9353,3.23715,1.88756,0.42727,0.09282,0.07378,0.03952,0.41156,0.08352,0.06375,0.02808,1.96997,3.99125,3.05971,1.92039,4.7243e-06,4.7243e-06,4.7243e-06
99,14546.5,1.93768,3.94619,3.23629,1.89021,0.41212,0.09298,0.07348,0.03924,0.39594,0.08242,0.06302,0.02752,1.96916,3.99154,3.06278,1.92004,3.5462e-06,3.5462e-06,3.5462e-06
100,14672.6,1.9302,3.93879,3.23228,1.88485,0.42914,0.09299,0.07447,0.03988,0.41385,0.08229,0.06392,0.02803,1.96864,3.99085,3.06076,1.91843,2.3681e-06,2.3681e-06,2.3681e-06
