epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,14872.3,1.20704,2.85363,0.30268,1.01061,1.19278,0.77228,0.59169,0.69042,0.44226,0.67814,0.36757,0.3675,0.17173,1.25086,2.39069,0.28892,0.9686,1.20618,0.000416,0.000416,0.000416
82,15056.8,1.20157,2.90281,0.30135,1.00384,1.19872,0.78718,0.58712,0.69263,0.44254,0.6756,0.36643,0.36707,0.17088,1.25076,2.3888,0.28793,0.96971,1.20692,0.0003962,0.0003962,0.0003962
83,15241.9,1.19453,2.85342,0.29987,0.99986,1.19006,0.77729,0.59196,0.69255,0.44319,0.68118,0.3664,0.36986,0.17235,1.24987,2.38509,0.28801,0.9655,1.20456,0.0003764,0.0003764,0.0003764
84,15426.8,1.1971,2.89566,0.30034,0.99958,1.19122,0.78005,0.59402,0.69106,0.44278,0.67344,0.36775,0.36739,0.17188,1.2504,2.3808,0.28783,0.96852,1.20547,0.0003566,0.0003566,0.0003566
85,15611.8,1.19396,2.86802,0.30145,0.99367,1.19072,0.78211,0.5925,0.69121,0.44342,0.67979,0.3684,0.37036,0.17501,1.24836,2.37124,0.28682,0.96461,1.20425,0.0003368,0.0003368,0.0003368
86,15796.8,1.19439,2.83087,0.29836,0.98776,1.19138,0.78161,0.59127,0.69212,0.44369,0.67871,0.36739,0.36917,0.1745,1.24704,2.3722,0.28662,0.96427,1.20432,0.000317,0.000317,0.000317
87,15982,1.19747,2.84772,0.30041,0.99515,1.19099,0.78052,0.59545,0.69239,0.44431,0.68526,0.36927,0.37172,0.17505,1.24579,2.3686,0.28684,0.96581,1.20405,0.0002972,0.0002972,0.0002972
88,16167.2,1.19397,2.8307,0.29624,0.99313,1.19246,0.78023,0.59446,0.6934,0.44647,0.68358,0.37088,0.37368,0.17619,1.24514,2.36115,0.28747,0.96342,1.20221,0.0002774,0.0002774,0.0002774
89,16352.4,1.1847,2.84626,0.29942,0.98166,1.18634,0.77215,0.60208,0.69335,0.44663,0.69255,0.36909,0.37519,0.17634,1.24439,2.35872,0.28814,0.9626,1.20186,0.0002576,0.0002576,0.0002576
90,16537.6,1.18769,2.78872,0.29679,0.9836,1.18414,0.77509,0.59772,0.69288,0.44617,0.68975,0.37231,0.37648,0.1765,1.24374,2.35764,0.28801,0.96293,1.20187,0.0002378,0.0002378,0.0002378
91,16715.5,1.15991,2.29106,0.28625,0.92916,1.16961,0.78405,0.59427,0.69099,0.44434,0.68961,0.36784,0.37181,0.17366,1.24472,2.36901,0.28538,0.96538,1.20248,0.000218,0.000218,0.000218
92,16891.7,1.15085,2.2565,0.2775,0.90714,1.16047,0.77874,0.59617,0.6913,0.44455,0.69194,0.36819,0.37199,0.17269,1.24228,2.37442,0.28489,0.96274,1.20173,0.0001982,0.0001982,0.0001982
93,17068.3,1.14746,2.25402,0.27723,0.90555,1.15994,0.77643,0.59948,0.69266,0.44519,0.67821,0.37124,0.37019,0.17299,1.24131,2.37232,0.28421,0.95997,1.20087,0.0001784,0.0001784,0.0001784
94,17247.6,1.14068,2.24003,0.27589,0.89222,1.15315,0.77424,0.59912,0.69188,0.44524,0.67673,0.37396,0.37144,0.17446,1.24242,2.36891,0.2845,0.95764,1.20132,0.0001586,0.0001586,0.0001586
95,17429,1.132,2.20492,0.27377,0.8851,1.1537,0.78265,0.59993,0.69412,0.44584,0.68061,0.37133,0.37233,0.17498,1.24139,2.36067,0.28384,0.95695,1.20141,0.0001388,0.0001388,0.0001388
96,17606.4,1.13535,2.22514,0.2765,0.8858,1.1525,0.78215,0.60199,0.69394,0.44593,0.6831,0.36999,0.37155,0.17527,1.24044,2.35537,0.28318,0.95447,1.20047,0.000119,0.000119,0.000119
97,17783,1.13126,2.17371,0.27116,0.88254,1.1511,0.78271,0.60011,0.69439,0.44643,0.68542,0.37106,0.37277,0.17479,1.24037,2.35435,0.2828,0.95388,1.20116,9.92e-05,9.92e-05,9.92e-05
98,17959.2,1.13,2.19851,0.27298,0.88236,1.14892,0.78454,0.59796,0.6947,0.4467,0.68429,0.37106,0.3732,0.17497,1.24082,2.35215,0.28293,0.95331,1.20146,7.94e-05,7.94e-05,7.94e-05
99,18135.7,1.12603,2.17943,0.2725,0.88451,1.1467,0.78448,0.5984,0.69552,0.44731,0.68391,0.37294,0.37492,0.17522,1.24054,2.34791,0.28257,0.95312,1.20129,5.96e-05,5.96e-05,5.96e-05
100,18311.9,1.12295,2.14442,0.27101,0.87303,1.149,0.77995,0.601,0.69535,0.44783,0.68314,0.37393,0.3754,0.17497,1.23898,2.34745,0.28269,0.95154,1.20067,3.98e-05,3.98e-05,3.98e-05
